"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if occurrenceDateTime has future or invalid formatted date","1913","Verify that the POST Create API will fail if occurrenceDateTime has future or invalid formatted date","features.APITests.steps","Fri Apr 10 09:47:11 UTC 2026","passed","Fri Apr 10 09:47:13 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if occurrenceDateTime has future or invalid formatted date","1922","Verify that the POST Create API will fail if occurrenceDateTime has future or invalid formatted date","features.APITests.steps","Fri Apr 10 09:47:13 UTC 2026","passed","Fri Apr 10 09:47:15 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/update.feature: Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","2569","Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","features.APITests.steps","Fri Apr 10 09:53:05 UTC 2026","passed","Fri Apr 10 09:53:08 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3588","Verify that the POST Create API for different vaccine types","features.APITests.steps","Fri Apr 10 09:44:53 UTC 2026","passed","Fri Apr 10 09:44:57 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API will throw error if both different combination of dates and include is invalid","2225","Verify that Search API will throw error if both different combination of dates and include is invalid","features.APITests.steps","Fri Apr 10 09:50:47 UTC 2026","passed","Fri Apr 10 09:50:49 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient forename is invalid","1975","Verify that the POST Create API will fail if patient forename is invalid","features.APITests.steps","Fri Apr 10 09:47:47 UTC 2026","passed","Fri Apr 10 09:47:49 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if doseNumberPositiveInt is not valid","2603","Verify that the POST Create API will fail if doseNumberPositiveInt is not valid","features.APITests.steps","Fri Apr 10 09:46:58 UTC 2026","passed","Fri Apr 10 09:47:01 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if recorded has future or invalid formatted date","2765","Verify that the POST Create API will fail if recorded has future or invalid formatted date","features.APITests.steps","Fri Apr 10 09:47:19 UTC 2026","passed","Fri Apr 10 09:47:22 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Flu event is created and search post request fetch the only one record matched with identifier with correct version id","3246","Flu event is created and search post request fetch the only one record matched with identifier with correct version id","features.APITests.steps","Fri Apr 10 09:51:41 UTC 2026","passed","Fri Apr 10 09:51:44 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that VACCINATION_PROCEDURE_TERM, VACCINE_PRODUCT_TERM fields are mapped to first instance of coding.display fields in imms delta table","2995","Verify that VACCINATION PROCEDURE TERM, VACCINE PRODUCT TERM fields are mapped to first instance of coding.display fields in imms delta table","features.APITests.steps","Fri Apr 10 09:46:35 UTC 2026","passed","Fri Apr 10 09:46:38 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/read.feature: Verify that the Read event request will fail with Not found error with invalid Imms Id","2800","Verify that the Read event request will fail with Not found error with invalid Imms Id","features.APITests.steps","Fri Apr 10 09:49:19 UTC 2026","passed","Fri Apr 10 09:49:22 UTC 2026","","Read the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API for different supplier fails on access denied","1980","Verify that the POST Create API for different supplier fails on access denied","features.APITests.steps","Fri Apr 10 09:46:48 UTC 2026","passed","Fri Apr 10 09:46:50 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3507","Verify that the POST Create API for different vaccine types","features.APITests.steps","Fri Apr 10 09:45:20 UTC 2026","passed","Fri Apr 10 09:45:23 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient forename is invalid","1909","Verify that the POST Create API will fail if patient forename is invalid","features.APITests.steps","Fri Apr 10 09:47:54 UTC 2026","passed","Fri Apr 10 09:47:55 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API for different supplier fails on access denied","1977","Verify that the POST Create API for different supplier fails on access denied","features.APITests.steps","Fri Apr 10 09:46:50 UTC 2026","passed","Fri Apr 10 09:46:52 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API request with minimal dataset for different vaccine types","3265","Verify that the POST Create API request with minimal dataset for different vaccine types","features.APITests.steps","Fri Apr 10 09:45:53 UTC 2026","passed","Fri Apr 10 09:45:56 UTC 2026","","Create the immunization event for a patient","",""
