"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API will throw error if both date from and date to are invalid","2284","Verify that Search API will throw error if both date from and date to are invalid","features.APITests.steps","Wed Feb 25 13:30:16 UTC 2026","passed","Wed Feb 25 13:30:18 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","2196","Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","features.APITests.steps","Wed Feb 25 13:26:43 UTC 2026","passed","Wed Feb 25 13:26:45 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","2853","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Wed Feb 25 13:29:00 UTC 2026","passed","Wed Feb 25 13:29:03 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/update.feature: Verify that the updated event request will fail with forbidden access for MAVIS supplier","4467","Verify that the updated event request will fail with forbidden access for MAVIS supplier","features.APITests.steps","Wed Feb 25 13:30:52 UTC 2026","passed","Wed Feb 25 13:30:57 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if occurrenceDateTime has future or invalid formatted date","2006","Verify that the POST Create API will fail if occurrenceDateTime has future or invalid formatted date","features.APITests.steps","Wed Feb 25 13:26:31 UTC 2026","passed","Wed Feb 25 13:26:33 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3558","Verify that the POST Create API for different vaccine types","features.APITests.steps","Wed Feb 25 13:24:08 UTC 2026","passed","Wed Feb 25 13:24:11 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if recorded has future or invalid formatted date","2113","Verify that the POST Create API will fail if recorded has future or invalid formatted date","features.APITests.steps","Wed Feb 25 13:26:37 UTC 2026","passed","Wed Feb 25 13:26:39 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if expiration date has invalid formatted date","1990","Verify that the POST Create API will fail if expiration date has invalid formatted date","features.APITests.steps","Wed Feb 25 13:26:54 UTC 2026","passed","Wed Feb 25 13:26:56 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/read.feature: Verify that the Read event request will fail when no Imms Id is provided","2015","Verify that the Read event request will fail when no Imms Id is provided","features.APITests.steps","Wed Feb 25 13:28:27 UTC 2026","passed","Wed Feb 25 13:28:29 UTC 2026","","Read the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Flu event is created and search post request fetch the only one record matched with identifier with correct version id","3427","Flu event is created and search post request fetch the only one record matched with identifier with correct version id","features.APITests.steps","Wed Feb 25 13:30:38 UTC 2026","passed","Wed Feb 25 13:30:41 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/delete.feature: Verify that the Delete event is not coming in Post Search API response","2780","Verify that the Delete event is not coming in Post Search API response","features.APITests.steps","Wed Feb 25 13:27:48 UTC 2026","passed","Wed Feb 25 13:27:50 UTC 2026","","Delete an immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API will throw error if both NHS Number and Disease Type are invalid","2219","Verify that Search API will throw error if both NHS Number and Disease Type are invalid","features.APITests.steps","Wed Feb 25 13:29:57 UTC 2026","passed","Wed Feb 25 13:29:59 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","2665","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Wed Feb 25 13:28:32 UTC 2026","passed","Wed Feb 25 13:28:35 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API will throw error if date from is invalid","2259","Verify that Search API will throw error if date from is invalid","features.APITests.steps","Wed Feb 25 13:30:02 UTC 2026","passed","Wed Feb 25 13:30:04 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/update.feature: verify that vaccination record can be updated with valid vaccination detail","3537","verify that vaccination record can be updated with valid vaccination detail","features.APITests.steps","Wed Feb 25 13:30:57 UTC 2026","passed","Wed Feb 25 13:31:00 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/status.feature: Verify that clients cannot make a direct connection without mTLS to AWS backend","629","Verify that clients cannot make a direct connection without mTLS to AWS backend","features.APITests.steps","Wed Feb 25 13:30:47 UTC 2026","passed","Wed Feb 25 13:30:48 UTC 2026","","Get the API status","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/update.feature: Flu event is created and updated twice","5247","Flu event is created and updated twice","features.APITests.steps","Wed Feb 25 13:31:00 UTC 2026","passed","Wed Feb 25 13:31:05 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if nhs number is invalid","2700","Verify that the POST Create API will fail if nhs number is invalid","features.APITests.steps","Wed Feb 25 13:27:00 UTC 2026","passed","Wed Feb 25 13:27:02 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API request with minimal dataset for different vaccine types","3397","Verify that the POST Create API request with minimal dataset for different vaccine types","features.APITests.steps","Wed Feb 25 13:25:27 UTC 2026","passed","Wed Feb 25 13:25:30 UTC 2026","","Create the immunization event for a patient","",""
