"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful with different valid value in gender field","51791","verify that vaccination record will be get successful with different valid value in gender field","features.batchTests.Steps","Wed Mar 04 13:17:22 UTC 2026","passed","Wed Mar 04 13:18:14 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","44690","verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","features.batchTests.Steps","Wed Mar 04 13:18:14 UTC 2026","passed","Wed Mar 04 13:18:59 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted by batch file upload","40912","Verify that the API vaccination record will be successful deleted by batch file upload","features.batchTests.Steps","Wed Mar 04 13:22:46 UTC 2026","passed","Wed Mar 04 13:23:27 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be successful if mandatory field for site, location and unique URI are invalid in batch file","44872","verify that vaccination record will be successful if mandatory field for site, location and unique URI are invalid in batch file","features.batchTests.Steps","Wed Mar 04 13:18:59 UTC 2026","passed","Wed Mar 04 13:19:44 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the batch vaccination record will be successful updated by API request","46950","Verify that the batch vaccination record will be successful updated by API request","features.batchTests.Steps","Wed Mar 04 13:26:41 UTC 2026","passed","Wed Mar 04 13:27:28 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","68962","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Wed Mar 04 13:11:30 UTC 2026","passed","Wed Mar 04 13:12:39 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","44835","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Wed Mar 04 13:12:39 UTC 2026","broken","Wed Mar 04 13:13:24 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","44387","verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","features.batchTests.Steps","Wed Mar 04 13:15:18 UTC 2026","passed","Wed Mar 04 13:16:02 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Delete immunization event for a patient through batch file","42208","Delete immunization event for a patient through batch file","features.batchTests.Steps","Wed Mar 04 13:22:04 UTC 2026","passed","Wed Mar 04 13:22:46 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if recorded_date is invalid in batch file","40061","verify that vaccination record will be get rejected if recorded date is invalid in batch file","features.batchTests.Steps","Wed Mar 04 13:14:03 UTC 2026","passed","Wed Mar 04 13:14:43 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the API vaccination record will be successful updated by batch file upload","41378","Verify that the API vaccination record will be successful updated by batch file upload","features.batchTests.Steps","Wed Mar 04 13:26:00 UTC 2026","passed","Wed Mar 04 13:26:41 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that vaccination record will be get rejected if date_and_time is invalid in batch file","39043","Verify that vaccination record will be get rejected if date and time is invalid in batch file","features.batchTests.Steps","Wed Mar 04 13:13:24 UTC 2026","passed","Wed Mar 04 13:14:03 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","46415","Update immunization event for a patient through batch file","features.batchTests.Steps","Wed Mar 04 13:25:14 UTC 2026","passed","Wed Mar 04 13:26:00 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","39407","verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","features.batchTests.Steps","Wed Mar 04 13:20:28 UTC 2026","passed","Wed Mar 04 13:21:08 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify batch update fails due to missing mandatory fields or a duplicate record for already existing record","40604","Verify batch update fails due to missing mandatory fields or a duplicate record for already existing record","features.batchTests.Steps","Wed Mar 04 13:27:28 UTC 2026","passed","Wed Mar 04 13:28:09 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file","39536","verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file","features.batchTests.Steps","Wed Mar 04 13:16:02 UTC 2026","passed","Wed Mar 04 13:16:41 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","106292","Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","features.batchTests.Steps","Wed Mar 04 13:23:27 UTC 2026","passed","Wed Mar 04 13:25:14 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if action flag has different cases","44646","verify that vaccination record will be get successful if action flag has different cases","features.batchTests.Steps","Wed Mar 04 13:19:44 UTC 2026","passed","Wed Mar 04 13:20:28 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if performer is invalid in batch file","40743","verify that vaccination record will be get successful if performer is invalid in batch file","features.batchTests.Steps","Wed Mar 04 13:16:41 UTC 2026","passed","Wed Mar 04 13:17:22 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if non mandatory fields are missing in batch file","56597","verify that vaccination record will be get successful if non mandatory fields are missing in batch file","features.batchTests.Steps","Wed Mar 04 13:21:08 UTC 2026","passed","Wed Mar 04 13:22:04 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if expiry_date is invalid in batch file","34667","verify that vaccination record will be get rejected if expiry date is invalid in batch file","features.batchTests.Steps","Wed Mar 04 13:14:43 UTC 2026","passed","Wed Mar 04 13:15:18 UTC 2026","","Create the immunization event for a patient through batch file","",""
