"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Immunization Service","7","Search the immunization of a patient","59","0","","0"
"1","Immunization Service","0","Delete an immunization of a patient","5","0","","0"
"0","Immunization Service","5","Create the immunization event for a patient","78","0","","0"
"0","Immunization Service","1","Update the immunization of a patient","24","0","","0"
"0","Immunization Service","0","Get the API status","4","0","","0"
"0","Immunization Service","1","Read the immunization of a patient","6","0","","0"
