"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","101343","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Mon Mar 09 17:12:35 UTC 2026","passed","Mon Mar 09 17:14:17 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Delete immunization event for a patient through batch file","73575","Delete immunization event for a patient through batch file","features.batchTests.Steps","Mon Mar 09 17:15:29 UTC 2026","passed","Mon Mar 09 17:16:42 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","71997","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Mon Mar 09 17:14:17 UTC 2026","passed","Mon Mar 09 17:15:29 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","86928","Update immunization event for a patient through batch file","features.batchTests.Steps","Mon Mar 09 17:16:42 UTC 2026","passed","Mon Mar 09 17:18:09 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
