"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Delete immunization event for a patient through batch file","74178","Delete immunization event for a patient through batch file","features.batchTests.Steps","Tue Mar 10 10:39:56 UTC 2026","passed","Tue Mar 10 10:41:11 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","72472","Update immunization event for a patient through batch file","features.batchTests.Steps","Tue Mar 10 10:41:11 UTC 2026","passed","Tue Mar 10 10:42:23 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","90460","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Tue Mar 10 10:37:18 UTC 2026","passed","Tue Mar 10 10:38:49 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","67709","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Tue Mar 10 10:38:49 UTC 2026","passed","Tue Mar 10 10:39:56 UTC 2026","","Create the immunization event for a patient through batch file","",""
