"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient surname is invalid","1327","Verify that the POST Create API will fail if patient surname is invalid","features.APITests.steps","Fri May 01 13:02:35 UTC 2026","passed","Fri May 01 13:02:36 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","2021","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Fri May 01 13:04:16 UTC 2026","passed","Fri May 01 13:04:18 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API will throw error if NHS Number is invalid","1617","Verify that Search API will throw error if NHS Number is invalid","features.APITests.steps","Fri May 01 13:04:58 UTC 2026","passed","Fri May 01 13:04:59 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that the POST method of Search API will be successful with all the valid parameters","1973","Verify that the POST method of Search API will be successful with all the valid parameters","features.APITests.steps","Fri May 01 13:04:50 UTC 2026","passed","Fri May 01 13:04:52 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API request with minimal dataset for different vaccine types","2466","Verify that the POST Create API request with minimal dataset for different vaccine types","features.APITests.steps","Fri May 01 13:00:42 UTC 2026","passed","Fri May 01 13:00:45 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","2049","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Fri May 01 13:04:26 UTC 2026","passed","Fri May 01 13:04:28 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that VACCINATION_PROCEDURE_TERM, VACCINE_PRODUCT_TERM, SITE_OF_VACCINATION_TERM, ROUTE_OF_VACCINATION_TERM fields are mapped to respective text fields in imms delta table","5163","Verify that VACCINATION PROCEDURE TERM, VACCINE PRODUCT TERM, SITE OF VACCINATION TERM, ROUTE OF VACCINATION TERM fields are mapped to respective text fields in imms delta table","features.APITests.steps","Fri May 01 13:01:29 UTC 2026","passed","Fri May 01 13:01:34 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/update.feature: Flu event is created and updated twice","3817","Flu event is created and updated twice","features.APITests.steps","Fri May 01 13:06:27 UTC 2026","passed","Fri May 01 13:06:31 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","2537","Verify that the POST Create API for different vaccine types","features.APITests.steps","Fri May 01 13:00:03 UTC 2026","passed","Fri May 01 13:00:06 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","1320","Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","features.APITests.steps","Fri May 01 13:02:13 UTC 2026","passed","Fri May 01 13:02:14 UTC 2026","","Create the immunization event for a patient","",""
