"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if recorded_date is invalid in batch file","44359","verify that vaccination record will be get rejected if recorded date is invalid in batch file","features.batchTests.Steps","Wed Apr 01 13:15:55 UTC 2026","passed","Wed Apr 01 13:16:40 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/delete.feature: Verify that the Delete API will be successful with all the valid parameters","2360","Verify that the Delete API will be successful with all the valid parameters","features.APITests.steps","Wed Apr 01 13:09:41 UTC 2026","passed","Wed Apr 01 13:09:44 UTC 2026","","Delete an immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the batch vaccination record will be successful updated by API request","43378","Verify that the batch vaccination record will be successful updated by API request","features.batchTests.Steps","Wed Apr 01 13:30:27 UTC 2026","passed","Wed Apr 01 13:31:11 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted by batch file upload","43233","Verify that the API vaccination record will be successful deleted by batch file upload","features.batchTests.Steps","Wed Apr 01 13:27:18 UTC 2026","passed","Wed Apr 01 13:28:01 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient surname is invalid","1342","Verify that the POST Create API will fail if patient surname is invalid","features.APITests.steps","Wed Apr 01 13:09:19 UTC 2026","passed","Wed Apr 01 13:09:21 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient surname is invalid","1336","Verify that the POST Create API will fail if patient surname is invalid","features.APITests.steps","Wed Apr 01 13:09:21 UTC 2026","passed","Wed Apr 01 13:09:22 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that Search API returns 400 when all target-disease values are invalid SNOMED codes","1439","Verify that Search API returns 400 when all target-disease values are invalid SNOMED codes","features.APITests.steps","Wed Apr 01 13:12:31 UTC 2026","passed","Wed Apr 01 13:12:32 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","1951","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Wed Apr 01 13:10:38 UTC 2026","passed","Wed Apr 01 13:10:40 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that the POST Create API request with minimal dataset for different vaccine types","2581","Verify that the POST Create API request with minimal dataset for different vaccine types","features.APITests.steps","Wed Apr 01 13:07:28 UTC 2026","passed","Wed Apr 01 13:07:31 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/APITests/create.feature: Verify that VACCINATION_PROCEDURE_TERM, VACCINE_PRODUCT_TERM, SITE_OF_VACCINATION_TERM, ROUTE_OF_VACCINATION_TERM fields are blank in imms delta table if no text or value string or display field is present","2038","Verify that VACCINATION PROCEDURE TERM, VACCINE PRODUCT TERM, SITE OF VACCINATION TERM, ROUTE OF VACCINATION TERM fields are blank in imms delta table if no text or value string or display field is present","features.APITests.steps","Wed Apr 01 13:08:30 UTC 2026","passed","Wed Apr 01 13:08:32 UTC 2026","","Create the immunization event for a patient","",""
