"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","55787","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Fri Mar 27 11:43:02 UTC 2026","passed","Fri Mar 27 11:43:57 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","50695","Update immunization event for a patient through batch file","features.batchTests.Steps","Fri Mar 27 11:44:44 UTC 2026","passed","Fri Mar 27 11:45:34 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","57236","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Fri Mar 27 11:42:04 UTC 2026","passed","Fri Mar 27 11:43:02 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if column order is invalid","72528","verify that vaccination file will be rejected if column order is invalid","features.batchTests.Steps","Fri Mar 27 11:39:55 UTC 2026","passed","Fri Mar 27 11:41:07 UTC 2026","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/batch_file_validation.feature: verify that vaccination file will be rejected if file delimiter is invalid","56925","verify that vaccination file will be rejected if file delimiter is invalid","features.batchTests.Steps","Fri Mar 27 11:41:07 UTC 2026","passed","Fri Mar 27 11:42:04 UTC 2026","","Validate the file level and columns validations for vaccination batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Delete immunization event for a patient through batch file","46236","Delete immunization event for a patient through batch file","features.batchTests.Steps","Fri Mar 27 11:43:57 UTC 2026","passed","Fri Mar 27 11:44:44 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify batch update fails due to missing mandatory fields or a duplicate record for already existing record","52486","Verify batch update fails due to missing mandatory fields or a duplicate record for already existing record","features.batchTests.Steps","Fri Mar 27 11:45:34 UTC 2026","passed","Fri Mar 27 11:46:27 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
