"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the batch vaccination record will be successful updated by API request","48687","Verify that the batch vaccination record will be successful updated by API request","features.batchTests.Steps","Thu Apr 02 08:04:44 UTC 2026","passed","Thu Apr 02 08:05:33 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","46754","verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","features.batchTests.Steps","Thu Apr 02 07:48:42 UTC 2026","passed","Thu Apr 02 07:49:29 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that vaccination record will be get rejected if date_and_time is invalid in batch file","41148","Verify that vaccination record will be get rejected if date and time is invalid in batch file","features.batchTests.Steps","Thu Apr 02 07:46:38 UTC 2026","passed","Thu Apr 02 07:47:19 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","82930","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Thu Apr 02 07:45:15 UTC 2026","passed","Thu Apr 02 07:46:38 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","51746","verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","features.batchTests.Steps","Thu Apr 02 07:54:34 UTC 2026","passed","Thu Apr 02 07:55:26 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if performer is invalid in batch file","46086","verify that vaccination record will be get successful if performer is invalid in batch file","features.batchTests.Steps","Thu Apr 02 07:50:16 UTC 2026","passed","Thu Apr 02 07:51:02 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that vaccination record will be created through batch file received from DPS","152547","Verify that vaccination record will be created through batch file received from DPS","features.batchTests.Steps","Thu Apr 02 07:56:54 UTC 2026","passed","Thu Apr 02 07:59:27 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","87762","Update immunization event for a patient through batch file","features.batchTests.Steps","Thu Apr 02 08:02:23 UTC 2026","passed","Thu Apr 02 08:03:51 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if expiry_date is invalid in batch file","36468","verify that vaccination record will be get rejected if expiry date is invalid in batch file","features.batchTests.Steps","Thu Apr 02 07:48:06 UTC 2026","passed","Thu Apr 02 07:48:42 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","41465","verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","features.batchTests.Steps","Thu Apr 02 07:51:58 UTC 2026","passed","Thu Apr 02 07:52:39 UTC 2026","","Create the immunization event for a patient through batch file","",""
