"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful with different valid value in gender field","59907","verify that vaccination record will be get successful with different valid value in gender field","features.batchTests.Steps","Tue Mar 31 11:00:13 UTC 2026","passed","Tue Mar 31 11:01:13 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","41205","Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","features.batchTests.Steps","Tue Mar 31 11:08:10 UTC 2026","passed","Tue Mar 31 11:08:51 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","74034","Update immunization event for a patient through batch file","features.batchTests.Steps","Tue Mar 31 11:08:51 UTC 2026","passed","Tue Mar 31 11:10:05 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if expiry_date is invalid in batch file","39963","verify that vaccination record will be get rejected if expiry date is invalid in batch file","features.batchTests.Steps","Tue Mar 31 10:57:26 UTC 2026","passed","Tue Mar 31 10:58:06 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if action flag has different cases","57305","verify that vaccination record will be get successful if action flag has different cases","features.batchTests.Steps","Tue Mar 31 11:02:53 UTC 2026","passed","Tue Mar 31 11:03:50 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted by batch file upload","50457","Verify that the API vaccination record will be successful deleted by batch file upload","features.batchTests.Steps","Tue Mar 31 11:07:19 UTC 2026","passed","Tue Mar 31 11:08:10 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the API vaccination record will be successful updated by batch file upload","49939","Verify that the API vaccination record will be successful updated by batch file upload","features.batchTests.Steps","Tue Mar 31 11:10:05 UTC 2026","passed","Tue Mar 31 11:10:55 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","106001","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Tue Mar 31 10:52:52 UTC 2026","passed","Tue Mar 31 10:54:38 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","46395","verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","features.batchTests.Steps","Tue Mar 31 11:01:13 UTC 2026","passed","Tue Mar 31 11:01:59 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the batch vaccination record will be successful updated by API request","51290","Verify that the batch vaccination record will be successful updated by API request","features.batchTests.Steps","Tue Mar 31 11:10:55 UTC 2026","passed","Tue Mar 31 11:11:46 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","44947","verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","features.batchTests.Steps","Tue Mar 31 11:03:50 UTC 2026","passed","Tue Mar 31 11:04:35 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","39763","verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","features.batchTests.Steps","Tue Mar 31 10:58:06 UTC 2026","passed","Tue Mar 31 10:58:45 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if non mandatory fields are missing in batch file","80030","verify that vaccination record will be get successful if non mandatory fields are missing in batch file","features.batchTests.Steps","Tue Mar 31 11:04:35 UTC 2026","passed","Tue Mar 31 11:05:55 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if performer is invalid in batch file","42348","verify that vaccination record will be get successful if performer is invalid in batch file","features.batchTests.Steps","Tue Mar 31 10:59:30 UTC 2026","passed","Tue Mar 31 11:00:13 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","82820","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Tue Mar 31 10:54:38 UTC 2026","passed","Tue Mar 31 10:56:01 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that vaccination record will be get rejected if date_and_time is invalid in batch file","44691","Verify that vaccination record will be get rejected if date and time is invalid in batch file","features.batchTests.Steps","Tue Mar 31 10:56:01 UTC 2026","passed","Tue Mar 31 10:56:46 UTC 2026","","Create the immunization event for a patient through batch file","",""
