"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"39","Immunization Service","0","Search the immunization of a patient","27","0","","0"
"33","Immunization Service","14","Create the immunization event for a patient","38","0","","0"
"21","Immunization Service","0","Update the immunization of a patient","4","0","","0"
"5","Immunization Service","0","Delete an immunization of a patient","1","0","","0"
"5","Immunization Service","0","Read the immunization of a patient","2","0","","0"
"0","Immunization Service","0","Get the API status","3","1","","0"
