"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Immunization Service","0","Create the immunization event for a patient","27","0","","0"
"0","Immunization Service","0","Search the immunization of a patient","20","0","","0"
"0","Immunization Service","0","Update the immunization of a patient","11","0","","0"
"0","Immunization Service","0","Get the API status","4","0","","0"
"0","Immunization Service","0","Read the immunization of a patient","4","0","","0"
"0","Immunization Service","0","Delete an immunization of a patient","1","0","","0"
