"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","114686","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Tue Apr 07 12:36:07 UTC 2026","passed","Tue Apr 07 12:38:01 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if performer is invalid in batch file","83496","verify that vaccination record will be get successful if performer is invalid in batch file","features.batchTests.Steps","Tue Apr 07 12:45:08 UTC 2026","passed","Tue Apr 07 12:46:31 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted by batch file upload","67742","Verify that the API vaccination record will be successful deleted by batch file upload","features.batchTests.Steps","Tue Apr 07 12:59:20 UTC 2026","passed","Tue Apr 07 13:00:28 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if non mandatory fields are missing in batch file","115088","verify that vaccination record will be get successful if non mandatory fields are missing in batch file","features.batchTests.Steps","Tue Apr 07 12:52:38 UTC 2026","passed","Tue Apr 07 12:54:33 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","66325","Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","features.batchTests.Steps","Tue Apr 07 13:00:28 UTC 2026","passed","Tue Apr 07 13:01:35 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if expiry_date is invalid in batch file","72741","verify that vaccination record will be get rejected if expiry date is invalid in batch file","features.batchTests.Steps","Tue Apr 07 12:41:50 UTC 2026","passed","Tue Apr 07 12:43:03 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","67583","verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","features.batchTests.Steps","Tue Apr 07 12:51:30 UTC 2026","passed","Tue Apr 07 12:52:38 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","104354","Update immunization event for a patient through batch file","features.batchTests.Steps","Tue Apr 07 13:01:35 UTC 2026","passed","Tue Apr 07 13:03:19 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the API vaccination record will be successful updated by batch file upload","79150","Verify that the API vaccination record will be successful updated by batch file upload","features.batchTests.Steps","Tue Apr 07 13:03:19 UTC 2026","passed","Tue Apr 07 13:04:38 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/immunisation-fhir-api/immunisation-fhir-api/tests/e2e_automation/features/batchTests/update_batch.feature: Verify that the batch vaccination record will be successful updated by API request","81607","Verify that the batch vaccination record will be successful updated by API request","features.batchTests.Steps","Tue Apr 07 13:04:38 UTC 2026","passed","Tue Apr 07 13:06:00 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
